Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,,Rur_Pctg
2.712933404,0.223823529,Abim,UG3064,2015,69.48853616
2.711109817,0.253353215,Adjumani,UG3065,2015,73.77483444
3.132891013,0.285815844,Agago,UG3066,2015,71.66377816
2.87571126,0.126491804,Alebtong,UG3067,2015,88.72633391
1.88979405,0.145958766,Amolatar,UG3068,2015,81.745503
2.82592117,0.132668001,Amudat,UG3069,2015,86.19744059
2.659590063,0.112382613,Amuria,UG2027,2015,88.12301166
4.619184698,0.292045432,Amuru,UG3070,2015,72.44094488
2.309675522,0.145564552,Apac,UG3071,2015,60.41994751
3.163190673,0.188680135,Arua,UG3072,2015,21.82926829
0.936453267,0.033399586,Budaka,UG2028,2015,88.42549203
0.901825092,0.025791133,Bududa,UG2029,2015,125.2525253
1.597581562,0.085603895,Bugiri,UG2030,2015,32.21153846
0.987886114,0.030798884,Bugweri,UG2031,2015,65.41889483
1.290288577,0.055823918,Buhweju,UG4101,2015,87.95472918
1.689525941,0.11806088,Buikwe,UG1001,2015,43.13999534
1.503210107,0.08533485,Bukedea,UG2032,2015,45.2991453
0.975527912,0.048731501,Bukomansimbi,UG1002,2015,48.09210526
1.097823573,0.045513301,Bukwo,UG2033,2015,176.1290323
1.978812247,0.056378242,Bulambuli,UG2034,2015,43.32965821
2.162868569,0.164778846,Buliisa,UG4102,2015,136.5646259
1.653935428,0.0691696,Bundibugyo,UG4103,2015,40.01743679
1.348796226,0.040480411,Bunyangabu,UG4104,2015,84.03458213
1.769565256,0.073535401,Bushenyi,UG4105,2015,105.4637865
1.434232304,0.061930726,Busia,UG2035,2015,55.70307785
1.311332247,0.053193464,Butaleja,UG2036,2015,26.58177477
1.581540971,0.032951561,Butambala,UG1003,2015,81.31760079
0.922719222,0.019333647,Butebo,UG2037,2015,61.85840708
3.939933433,0.781533339,Buvuma,UG1004,2015,264.4444444
1.923593529,0.149941549,Buyende,UG2038,2015,42.69058296
1.615376015,0.088307419,Dokolo,UG3073,2015,73.93162393
2.315221467,0.135719276,Gomba,UG1005,2015,122.0160792
2.11414824,0.152249632,Gulu,UG3074,2015,43.4751773
2.885077834,0.215204278,Hoima,UG4106,2015,88.10054088
2.104873124,0.078447397,Ibanda,UG4107,2015,148.2622433
1.147629566,0.05188202,Iganga,UG2039,2015,38.08290155
2.552553833,0.215178928,Isingiro,UG4108,2015,18.48890666
1.285666651,0.058856144,Jinja,UG2040,2015,34.71057047
4.36456197,0.386419981,Kaabong,UG3075,2015,139.4404332
1.185503975,0.050377377,Kabale,UG4109,2015,40.50687285
2.648601634,0.106563119,Kabarole,UG4110,2015,81.94078947
1.337447834,0.072129652,Kaberamaido,UG2041,2015,216.9273229
2.092606694,0.126287447,Kagadi,UG4111,2015,26.14234284
1.786103182,0.135476471,Kakumiro,UG4112,2015,16.19381575
1.289265921,0.059913878,Kalaki,UG2042,2015,177.0044053
3.495566872,0.73537113,Kalangala,UG1006,2015,247.4060823
1.21601175,0.070681206,Kaliro,UG2043,2015,157.719226
1.263335095,0.068013888,Kalungu,UG1007,2015,97.56229686
0.636963569,0.015865428,Kampala,UG1008,2015,11.87393749
1.799551812,0.123286982,Kamuli,UG2044,2015,12.12671509
2.4618206,0.137525351,Kamwenge,UG4113,2015,24.95518107
2.774999659,0.107679265,Kanungu,UG4114,2015,17.34534064
