name,code,rate,year
Abim,UG314,69.48853616,2015
Adjumani,UG301,73.77483444,2015
Agago,UG322,71.66377816,2015
Alebtong,UG323,88.72633391,2015
Amolatar,UG315,81.745503,2015
Amudat,UG324,86.19744059,2015
Amuria,UG216,88.12301166,2015
Amuru,UG316,72.44094488,2015
Apac,UG302,60.41994751,2015
Arua,UG303,21.82926829,2015
Budaka,UG217,88.42549203,2015
Bududa,UG218,12.52525253,2015
Bugiri,UG201,32.21153846,2015
Bugweri,UG235,65.41889483,2015
Buhweju,UG420,87.95472918,2015
Buikwe,UG117,43.13999534,2015
Bukedea,UG219,45.2991453,2015
Bukomansimbi,UG118,48.09210526,2015
Bukwo,UG220,17.61290323,2015
Bulambuli,UG225,43.32965821,2015
Buliisa,UG416,13.65646259,2015
Bundibugyo,UG401,40.01743679,2015
Bunyangabu,UG430,84.03458213,2015
Bushenyi,UG402,10.54637865,2015
Busia,UG202,55.70307785,2015
Butaleja,UG221,26.58177477,2015
Butambala,UG119,81.31760079,2015
Butebo,UG233,61.85840708,2015
Buvuma,UG120,26.44444444,2015
Buyende,UG226,42.69058296,2015
Dokolo,UG317,73.93162393,2015
Gomba,UG121,12.20160792,2015
Gulu,UG304,43.4751773,2015
Hoima,UG403,88.10054088,2015
Ibanda,UG417,14.82622433,2015
Iganga,UG203,38.08290155,2015
Isingiro,UG418,18.48890666,2015
Jinja,UG204,34.71057047,2015
Kaabong,UG318,13.94404332,2015
Kabale,UG404,40.50687285,2015
Kabarole,UG405,81.94078947,2015
Kaberamaido,UG213,21.69273229,2015
Kagadi,UG427,26.14234284,2015
Kakumiro,UG428,16.19381575,2015
Kalaki,UG237,17.70044053,2015
Kalangala,UG101,24.74060823,2015
Kaliro,UG222,15.7719226,2015
Kalungu,UG122,97.56229686,2015
Kampala,UG102,11.87393749,2015
Kamuli,UG205,12.12671509,2015
Kamwenge,UG413,24.95518107,2015
Kanungu,UG414,17.34534064,2015
Kapchorwa,UG206,50.33457249,2015
Kapelebyong,UG236,19.44196429,2015
Karenga,UG335,23.79139073,2015
Kasese,UG406,34.93499152,2015
Kassanda,UG126,53.21531792,2015
Katakwi,UG207,75.27957622,2015
Kayunga,UG112,29.47481243,2015
Kazo,UG433,93.03346133,2015
Kibaale,UG407,16.86950642,2015
Kiboga,UG103,82.87037037,2015
Kibuku,UG227,95.00480307,2015
Kikuube,UG432,73.16110513,2015
Kiruhura,UG419,75.66001288,2015
Kiryandongo,UG421,56.28214548,2015
Kisoro,UG408,50.52447552,2015
Kitagwenda,UG434,13.39189189,2015
Kitgum,UG305,50.38722168,2015
Koboko,UG319,82.44131455,2015
Kole,UG325,64.87148103,2015
Kotido,UG306,47.09712425,2015
Kumi,UG208,72.73469388,2015
Kwania,UG333,11.76533333,2015
Kween,UG228,30.26123302,2015
Kyankwanzi,UG123,79.03225806,2015
Kyegegwa,UG422,34.85504832,2015
Kyenjojo,UG415,41.52113971,2015
Kyotera,UG125,77.75484936,2015
Lamwo,UG326,20.71533923,2015
Lira,UG307,44.48441247,2015
Luuka,UG229,32.05128205,2015
Luwero,UG104,26.31578947,2015
Lwengo,UG124,40.4478151,2015
Lyantonde,UG114,15.08863399,2015
