name,year,rate,code
ROGERS PARK,1999,10.5,1
WEST RIDGE,1999,6,2
UPTOWN,1999,11.3,3
LINCOLN SQUARE,1999,7.2,4
NORTH CENTER,1999,6.4,5
LAKE VIEW,1999,4,6
LINCOLN PARK,1999,5.8,7
NEAR NORTH SIDE,1999,6.4,8
EDISON PARK,1999,0,9
NORWOOD PARK,1999,1.6,10
JEFFERSON PARK,1999,1.4,11
FOREST GLEN,1999,0,12
NORTH PARK,1999,3.6,13
ALBANY PARK,1999,9.7,14
PORTAGE PARK,1999,4.8,15
IRVING PARK,1999,5.9,16
DUNNING,1999,1.8,17
MONTCLARE,1999,5.8,18
BELMONT CRAGIN,1999,6.4,19
HERMOSA,1999,11.9,20
AVONDALE,1999,8.6,21
LOGAN SQUARE,1999,12.8,22
HUMBOLDT PARK,1999,25.9,23
WEST TOWN,1999,13.4,24
AUSTIN,1999,34.2,25
WEST GARFIELD PARK,1999,35,26
EAST GARFIELD PARK,1999,37.8,27
NEAR WEST SIDE,1999,15.3,28
NORTH LAWNDALE,1999,30.5,29
SOUTH LAWNDALE,1999,14.6,30
LOWER WEST SIDE,1999,14.4,31
LOOP,1999,13.1,32
NEAR SOUTH SIDE,1999,8.5,33
ARMOUR SQUARE,1999,4.5,34
DOUGLAS,1999,10.8,35
OAKLAND,1999,9.5,36
FULLER PARK,1999,39.5,37
GRAND BOULEVARD,1999,18.6,38
KENWOOD,1999,16,39
WASHINGTON PARK,1999,21.8,40
HYDE PARK,1999,7.7,41
WOODLAWN,1999,24.1,42
SOUTH SHORE,1999,19.7,43
CHATHAM,1999,17.5,44
AVALON PARK,1999,14.4,45
SOUTH CHICAGO,1999,20.2,46
BURNSIDE,1999,21.8,47
CALUMET HEIGHTS,1999,12.2,48
ROSELAND,1999,24,49
PULLMAN,1999,16.1,50
SOUTH DEERING,1999,9.2,51
EAST SIDE,1999,7.7,52
WEST PULLMAN,1999,24.8,53
RIVERDALE,1999,5.6,54
HEGEWISCH,1999,5.2,55
GARFIELD RIDGE,1999,5.8,56
ARCHER HEIGHTS,1999,5,57
OHARE,1999,0,58
